Ma(hex),MacroID,Ten ngan,Mo ta,Vao,Ra,Param,Obsolete,Nhom
100D,PID_TS,PID-TOSHIBA,PID1 - PID Control (obs),3,1,3,x,Toan hoc (Math)
20AD,PID2_TS,PID2,PID2 - PID Control 2 (obs),2,3,23,x,Toan hoc (Math)
4093,F_P3_1_I,PID3_1,PID3(SV-PV) - Velocity PID (SV/PV),2,3,27,,Toan hoc (Math)
4094,F_P3_2_I,PID3_2,PID3(PV-SV) - Velocity PID (SV/PV),2,3,27,,Toan hoc (Math)
4095,F_P3_3_I,PID3_3,PID3(SV-PV) - Velocity PID (SV/PV/Gs/Ti/Gd/Gp),6,3,23,,Toan hoc (Math)
4096,F_P3_4_I,PID3_4,PID3(PV-SV) - Velocity PID (SV/PV/Gs/Ti/Gd/Gp),6,3,23,,Toan hoc (Math)
4097,F_P3_5_I,PID3_5,PID3(SV-PV) - Velocity PID (SV/PV/Gs),3,3,26,,Toan hoc (Math)
4098,F_P3_6_I,PID3_6,PID3(PV-SV) - Velocity PID (SV/PV/Gs),3,3,26,,Toan hoc (Math)
4099,F_P3_7_I,PID3_7,PID3(SV-PV) - Velocity PID (SV/PV/Ti),3,3,26,,Toan hoc (Math)
409A,F_P3_8_I,PID3_8,PID3(PV-SV) - Velocity PID (SV/PV/Ti),3,3,26,,Toan hoc (Math)
409B,F_P3_9_I,PID3_9,PID3(SV-PV) - Velocity PID (SV/PV/Gp),3,3,26,,Toan hoc (Math)
409C,F_P3_A_I,PID3_A,PID3(PV-SV) - Velocity PID (SV/PV/Gp),3,3,26,,Toan hoc (Math)
005C,DLM_T,RATE-LIMIT,V|> - Velocity Limiter (obs),2,1,2,x,Toan hoc (Math)
4057,F_RAL1_I,RATELIM1,RL - Velocity Limiter (R:para / SW:Upside),2,1,4,,Toan hoc (Math)
4058,F_RAL2_I,RATELIM2,RL - Velocity Limiter (R:para / SW:Downside),2,1,4,,Toan hoc (Math)
4059,F_RAL3_I,RATELIM3,RL - Velocity Limiter (R:para / without SW),1,1,4,,Toan hoc (Math)
405A,F_RAL4_I,RATELIM4,RL - Velocity Limiter (R:input / SW:Upside),4,1,1,,Toan hoc (Math)
405B,F_RAL5_I,RATELIM5,RL - Velocity Limiter (R:input / SW:Downside),4,1,1,,Toan hoc (Math)
405C,F_RAL6_I,RATELIM6,RL - Velocity Limiter (R:input / without SW),3,1,1,,Toan hoc (Math)
0043,SUB_T,SUBTRACTION,- - Subtraction (obs),2,1,0,x,Toan hoc (Math)
0044,SUM_T,SUM,*+ - Addition and Subtraction (obs),2,1,2,x,Toan hoc (Math)
1031,FFR3_TS,TRIPLE-FFR,FF/R - FF with Reset Priority for Triple (obs),4,1,0,x,Toan hoc (Math)
1032,FFS3_TS,TRIPLE-FFS,FF/S - FF with Set Priority for Triple (obs),4,1,0,x,Toan hoc (Math)
20B5,F_TWA_TS,TWA,CAL TWA - Time Weighted Average (obs),4,2,0,x,Toan hoc (Math)
20B7,F_TWI_TS,TWI,CAL TWI - Time Weighted Integration (obs),4,2,1,x,Toan hoc (Math)
8037,SQM_TG,,GSQ - Group Sequence Master (obs),8,9,1,x,Tuan tu (Sequence)
82C5,82C5_TG,AA352,SEQ-S - Sequence Master (Step) with Bypass,12,5,5,,Tuan tu (Sequence)
82C4,82C4_TG,GSQ,SEQ-M - Sequence Master (Mode) with Bypass,11,11,8,,Tuan tu (Sequence)
8225,SEQM_TG,SEQ-M,SEQ-M - Sequence Master (Mode),9,9,8,,Tuan tu (Sequence)
8226,SEQS_TG,SEQ-S,SEQ-S - Sequence Master (Step),9,3,5,,Tuan tu (Sequence)
20C4,F_STPX_TS,STPX,STP - Master Step Control (obs),7,5,1,x,Tuan tu (Sequence)
8243,8243_TG,XFRSEQM,X-SEQM - Group Sequence (Master) for Transfer,10,5,8,,Tuan tu (Sequence)
8244,8244_TG,XFRSEQS,X-SEQS - Group Sequence (Step) for Transfer,7,1,4,,Tuan tu (Sequence)
8020,MOV1_TG,,MOV_D - MOV:Digital Inching Non-Self Hold (obs),16,5,1,x,Van/Dong co (Valve/Motor)
8021,MOV2_TG,,MOV_DS - MOV:Digital Inching Self Hold (obs),17,5,1,x,Van/Dong co (Valve/Motor)
8022,MOV3_TG,,MOV_P - MOV:Position Seating Non-Self Hold (obs),14,5,1,x,Van/Dong co (Valve/Motor)
8023,MOV4_TG,,MOV_PS - MOV:Position Seating Self Hold (obs),15,5,1,x,Van/Dong co (Valve/Motor)
8028,ML_TG,,MC_L - Motor (M/C Linkage) (obs),16,9,1,x,Van/Dong co (Valve/Motor)
8029,MNL_TG,,MC - Motor (M/C Non-Linkage) (obs),14,7,1,x,Van/Dong co (Valve/Motor)
802A,MML_TG,,MCC_L - Motor (MCC Linkage) (obs),15,9,1,x,Van/Dong co (Valve/Motor)
802B,MMNL_TG,,MCC - Motor (MCC Non-Linkage) (obs),13,7,1,x,Van/Dong co (Valve/Motor)
8042,MOV5_TG,,MOV_T - MOV:Torque Seating Non-Self Hold (obs),14,5,1,x,Van/Dong co (Valve/Motor)
8043,MOV6_TG,,MOV_TS - MOV:Torque Seating Self Hold (obs),15,5,1,x,Van/Dong co (Valve/Motor)
40CA,40CA_I,40CA,MV - Move,2,1,0,,Van/Dong co (Valve/Motor)
40F4,F_40F4_I,40F4,Data Move Set Value,2,1,1,,Van/Dong co (Valve/Motor)
40FB,40FB_I,40FB,Data Move Set Value 2,2,1,2,,Van/Dong co (Valve/Motor)
5137,5137_I,5137,Move Data,1,1,0,,Van/Dong co (Valve/Motor)
5138,5138_I,5138,Move Data,2,1,0,,Van/Dong co (Valve/Motor)
5139,F_5139_I,5139,Move Data (Load),2,1,0,,Van/Dong co (Valve/Motor)
513A,F_513A_I,513A,Move Data (Load),3,1,0,,Van/Dong co (Valve/Motor)
513B,F_513B_I,513B,Move Data (Store),2,1,0,,Van/Dong co (Valve/Motor)
513C,F_513C_I,513C,Move Data (Store),3,1,0,,Van/Dong co (Valve/Motor)
8206,DSOV_TG,D-SOV,D-SOV - Double Solenoid Valve,13,6,9,,Van/Dong co (Valve/Motor)
1002,MV2_TS,LOAD,MV2 - Move Data (Load) (obs),2,1,0,x,Van/Dong co (Valve/Motor)
8249,8249_TG,M3NSH,MOV3-NSH - Motor Operated Valve 3 Non-Self Hold,14,4,10,,Van/Dong co (Valve/Motor)
824A,824A_TG,M3SH,MOV3-SH - Motor Operated Valve 3 Self Hold,17,7,12,,Van/Dong co (Valve/Motor)
20B3,F_MAF_TS,MAF,MAF - Moving Average Function (obs),5,3,11,x,Van/Dong co (Valve/Motor)
8202,MNSH_TG,MOV-NSH,MOV-NSH - Motor Operated Valve Non-Self Hold,14,4,7,,Van/Dong co (Valve/Motor)
8203,MSH_TG,MOV-SH,MOV-SH - Motor Operated Valve Self Hold,19,7,10,,Van/Dong co (Valve/Motor)
8204,M2NSH_TG,MOV2-NSH,MOV2-NSH - Motor Operated Valve 2 Non-Self Hold,14,4,8,,Van/Dong co (Valve/Motor)
8205,M2SH_TG,MOV2-SH,MOV2-SH - Motor Operated Valve 2 Self Hold,17,7,11,,Van/Dong co (Valve/Motor)
1001,MV1_TS,MOVE,MV1 - Move Data (obs),2,1,0,x,Van/Dong co (Valve/Motor)
20E0,MVE_TS,MVE,Data Move E-register(for HCNT),2,0,0,,Van/Dong co (Valve/Motor)
4111,4111_I,MVE,Data Move(Diagnostic information),2,0,0,,Van/Dong co (Valve/Motor)
4110,F_4110_I,MVS,Data Move(Set value:User memory),2,1,2,,Van/Dong co (Valve/Motor)
4112,4112_I,MVS2,Data Move2(Set value:EHC module),2,1,3,,Van/Dong co (Valve/Motor)
8208,SSEC_TG,S-SOV-EC,S-SOV-EC - Single Solenoid Valve Energize Close,13,5,9,,Van/Dong co (Valve/Motor)
8207,SSEO_TG,S-SOV-EO,S-SOV-EO - Single Solenoid Valve Energize Open,13,5,9,,Van/Dong co (Valve/Motor)
1003,MV3_TS,STORE,MV3 - Move Data (Store) (obs),2,1,0,x,Van/Dong co (Valve/Motor)
1004,XFR_TS,TRANSFER,XFR - Move Block Data (obs),2,1,1,x,Van/Dong co (Valve/Motor)
2111,F_VPC_TS,VPC,Valve Position Control(for HCNT),6,6,6,,Van/Dong co (Valve/Motor)
4101,F_4101_I,VPCL,Valve Position Control Module Interface,12,15,6,,Van/Dong co (Valve/Motor)
20C6,XFRL2_TS,XFRL2,XFRL2 - Move Block Data (Load) (obs),2,1,2,x,Van/Dong co (Valve/Motor)
20C7,XFRL3_TS,XFRL3,XFRL3 - Move Block Data (Store) (obs),2,1,2,x,Van/Dong co (Valve/Motor)
823D,823D_TG,XFRMOV-NSH,X-MOV-NSH - MOV Non-Self Hold for Transfer,13,4,7,,Van/Dong co (Valve/Motor)
823E,823E_TG,XFRMOV-SH,X-MOV-SH - MOV Self Hold for Transfer,16,5,8,,Van/Dong co (Valve/Motor)
823F,823F_TG,XFRSOV,X-SOV - Solenoid Valve for Transfer,11,4,7,,Van/Dong co (Valve/Motor)
508E,508E_I,508E,Analog Input Check,3,1,0,,Vao/Ra (I/O)
508F,508F_I,508F,Analog Input Check,4,1,0,,Vao/Ra (I/O)
5090,5090_I,5090,Analog Input Check,3,2,0,,Vao/Ra (I/O)
5091,5091_I,5091,Analog Input Check,4,2,0,,Vao/Ra (I/O)
4113,F_4113_I,AIM-EU,Analog Input Module(EU deviation),3,5,12,,Vao/Ra (I/O)
4115,F_4115_I,AOM,Analog Output Module,3,1,7,,Vao/Ra (I/O)
823B,GAI_TG,GWAI,GW-AI - Gateway Analog Input,2,2,3,,Vao/Ra (I/O)
8238,IHMA_TG,HMIA,HMI AO - HMI Analog,0,1,2,,Vao/Ra (I/O)
8237,IHMD_TG,HMID,HMI DO - HMI Digital,0,1,2,,Vao/Ra (I/O)
8231,IAI_TG,IAI,I-AI - Intelligent Analog Input,9,6,16,,Vao/Ra (I/O)
8233,IAO_TG,IAO,I-AO(2) - Intelligent Analog Output for Duplex,10,1,7,,Vao/Ra (I/O)
8236,IAOS_TG,IAOS,I-AO(1) - Intelligent Analog Output for Single,5,1,7,,Vao/Ra (I/O)
8232,IDO_TG,IDO,I-DO(2) - Intelligent Digital Output for Duplex,8,1,4,,Vao/Ra (I/O)
8235,IDOS_TG,IDOS,I-DO(1) - Intelligent Digital Output for Single,4,1,4,,Vao/Ra (I/O)
40E4,40E4_I,IO_AI,Analog Input,0,2,7,,Vao/Ra (I/O)
40F0,40F0_I,IO_AI,Analog Input,0,2,7,,Vao/Ra (I/O)
40E5,40E5_I,IO_AO,Analog Output,1,0,7,,Vao/Ra (I/O)
40F1,40F1_I,IO_AO,Analog Output,1,0,7,,Vao/Ra (I/O)
40E2,40E2_I,IO_DI,Digital Input,0,2,5,,Vao/Ra (I/O)
40E3,40E3_I,IO_DO,Digital Output,1,0,5,,Vao/Ra (I/O)
2003,UDIN_TS,UDIN,UDIN - User Digital Input (obs),0,1,0,x,Vao/Ra (I/O)
40E0,40E0_I,UDO0,UDO0 - User DO 0,2,0,0,,Vao/Ra (I/O)
40E1,40E1_I,UDO1,UDO1 - User DO 1,2,0,0,,Vao/Ra (I/O)
2004,UDO1_TS,UDO1,UDO1 - User Digital Output 1 (obs),2,1,0,x,Vao/Ra (I/O)
2005,UDO2_TS,UDO2,UDO2 - User Digital Output 2 (obs),2,1,0,x,Vao/Ra (I/O)
